SiteNumber,SiteLongit,SiteLatitu,slo,wti,accumulati,Dis_Sea,Slope_degr,TWI,curv,curv_profi,Area,handMean,Altitude,imp,Dis_storm,Soil_Point,Soil_Mean,Rain_MAX,Rain_Mean,Wind_MAX,Wind_Mean,Wind_Point,Rain_Point,Tide_Mean,Tide_Point,RiverDisMn,Mean_Gage_height,Slope-Invariability,Max_Gage_height
1398000,-74.827778,40.473333,2.96243,-4.41905,878333,0.556637,0.501344,18.316236,24145500,-2059870000.0,65475300,25.1662,109.46,6.14362,0.440577,0.394537,0.398686,2.677837,2.48571,52.561657,51.509898,52.0482,2.37093,2.447794,2.37794,70214.25174,2.437917,1.215711371,9.31
1397420,-74.7425,40.501944,4.51382,-4.38516,7613110,0.471549,0.208936,21.216994,52589500,-664314000.0,469030000,40.3581,60.4,4.80959,0.502464,0.394537,0.364434,3.138713,2.477164,51.484287,48.226428,50.7821,2.28986,2.109227,2.20752,48398.57261,5.141146,0.853690476,12.04
1401000,-74.681944,40.333056,2.60898,-4.25152,1462430,0.437685,1.26195,17.966622,41312100,-1171460000.0,117541000,21.5042,62.23,3.62115,0.635176,0.361286,0.372957,2.442155,2.2945,57.492161,55.299506,54.8908,2.19954,2.544326,2.50388,66321.35768,1.259479,1.067073706,3.82
1401650,-74.648889,40.468056,2.38086,-4.03033,176373,0.378003,2.69528,15.115324,68069504,-19202600000.0,13149800,21.7889,58.85,8.80802,0.601032,0.394537,0.394537,2.255825,2.224792,51.45179,51.166515,51.6056,2.18142,2.150069,2.10883,59838.32911,2.846458,1.313301232,5.92
1401750,-74.6175,40.44,2.0742,-3.99254,5610190,0.349136,14.0667,16.92015,119724000,27264600000.0,453287000,14.8798,26.52,12.2686,0.641915,0.384647,0.338468,2.299306,1.977708,55.774555,53.991898,52.4462,2.09359,2.258585,2.11461,54840.59032,2.945833,1.028678267,9.1
1402630,-74.623056,40.506111,1.86294,-4.09402,292217,0.352436,3.18086,15.457465,161975008,8049300000.0,23075000,11.1992,41.18,15.9767,0.605992,0.394537,0.391913,2.274167,2.204795,51.553082,50.862314,50.7129,2.19524,2.069515,2.01875,56779.4571,1.145,1.123479933,6.22
1402000,-74.575833,40.475,2.0737,-4.01797,6533990,0.304733,2.04736,18.996189,118327000,-19495200000.0,524666000,14.7862,26.97,12.4338,0.662291,0.384647,0.344762,2.299306,1.97615,55.774555,53.829703,51.9983,2.04945,2.220968,1.9867,49882.04528,1.745937,1.099539089,5.63
1402500,-74.5875,40.502778,2.07769,-4.02213,6651550,0.316746,4.43269,18.254765,118770000,-12219100000.0,535716000,14.7958,24.4,12.4074,0.638956,0.384647,0.345625,2.299306,1.978218,55.774555,53.786021,51.2433,2.11262,2.21644,1.92802,49869.94177,0.711875,1.113814935,6.54
1405030,-74.412778,40.483056,1.80824,-3.90171,1353560,0.141529,3.11326,17.011602,108884000,11067600000.0,108447000,10.1191,0.0,24.4093,0.802508,0.384647,0.381307,1.940712,1.711334,56.003235,54.494784,55.4656,1.52576,1.85811,1.64027,48494.63489,15.794792,1.172871131,16.38
1405400,-74.390556,40.389444,2.20017,-4.15066,1376370,0.148389,1.06965,18.063566,116728000,0.0,103073000,10.9387,0.0,12.7221,0.866051,0.384647,0.321301,1.713706,1.55329,56.547104,55.646665,55.7813,1.50827,1.959278,1.74641,54318.64777,10.091458,0.859005453,10.95
1406050,-74.348889,40.415,2.20881,-4.22015,521492,0.099543,1.12956,17.041245,149492000,0.0,40889400,11.6445,1.3,18.6964,0.890858,0.359959,0.348381,1.386289,1.281624,58.003212,57.275902,56.4967,1.39815,1.609004,1.65491,50944.89722,6.747083,0.996446231,7.04
1407290,-74.214167,40.319722,2.99999,-4.5171,224303,0.127744,7.8505,14.294891,125481000,-17606300000.0,17293400,17.0496,80.0,15.1573,1.054534,0.338492,0.338492,1.25714,1.215874,57.841499,57.627498,57.8803,1.17592,1.613847,1.60631,55797.84608,9.987361,1.276583434,11.41
1407500,-74.115556,40.319722,3.02305,-4.39191,1600450,0.117716,7.9433,16.248117,103169000,23713200000.0,125190000,16.1274,30.0,10.0002,1.141619,0.188652,0.338418,1.285326,1.154867,58.842587,58.017308,58.7505,1.03836,1.580587,1.50627,51178.2011,4.870521,1.362800054,5.03
1396500,-74.879167,40.677778,4.67278,-4.06427,2029020,0.63778,14.4386,15.876021,62528700,61710300000.0,162835000,43.9266,282.1,4.46551,0.299278,0.355888,0.340221,3.138713,2.599058,48.911308,45.628343,48.9113,2.37422,1.866674,2.13269,52620.16907,6.157292,0.884866139,10.16
1396582,-74.936944,40.691389,4.50308,-4.63068,402075,0.696982,6.7566,15.029045,61798100,21789400000.0,31578100,45.4951,379.1,1.41115,0.241868,0.355888,0.353602,2.469644,2.413768,48.84013,48.153286,48.8299,2.40264,2.098457,2.16728,66510.04523,3.106354,0.844178155,7.9
1396660,-74.968889,40.6475,5.03464,-4.76113,465465,0.716333,5.11274,15.45351,26855200,18871500000.0,29894900,59.7334,280.25,3.44501,0.234248,0.355888,0.359899,2.558576,2.49444,49.439228,49.198789,49.2074,2.44941,2.308295,2.25936,76006.07983,0.584444,1.04502157,5.98
1396800,-74.915556,40.64,5.09135,-4.43983,3504870,0.662708,16.0646,16.31111,73312704,7835590000.0,106140000,47.5085,193.5,2.1914,0.284866,0.355888,0.356403,2.558576,2.436392,49.439228,48.800399,49.3801,2.4019,2.197361,2.23038,65829.78719,1.561875,0.921977329,1.68
1397000,-74.868056,40.572222,4.70213,-4.33715,4716190,0.603154,1.00921,19.350253,59753500,3672630000.0,378085000,43.0579,125.01,4.09908,0.358612,0.394537,0.35711,3.138713,2.505292,50.229519,47.672772,50.1276,2.38342,2.067728,2.26916,51555.58413,2.983542,0.832595304,8.45
1398102,-74.696389,40.546944,4.15254,-4.41946,8642640,0.429636,5.13839,18.369961,43672800,-26336100000.0,664301000,36.4756,45.54,4.57315,0.522073,0.394537,0.373677,3.138713,2.449523,54.004063,49.212942,49.1692,2.34988,2.181099,2.04785,47084.64302,2.498021,0.932697163,9.67
1399100,-74.681667,40.649444,3.53836,-4.60594,2032500,0.442174,1.61953,18.055844,41001400,707714000.0,17784000,23.1301,95.0,2.52859,0.486986,0.343316,0.343316,2.434027,2.39277,48.528156,48.352845,48.1348,2.43212,1.862583,1.88726,54059.30897,5.48875,1.427870724,8.88
1399670,-74.773611,40.619444,4.42242,-2.97483,568744,0.520064,2.47402,16.370066,52671300,3199200000.0,44569500,32.3137,121.5,5.11186,0.419863,0.394537,0.361087,2.363609,2.351714,49.662254,49.265042,49.0195,2.35669,2.115871,2.07304,62358.85941,3.185833,1.380463273,6.93
1399780,-74.686667,40.634722,4.37981,-4.1662,5514160,0.441608,7.32253,17.566884,65785500,8345810000.0,278343000,34.7208,70.0,3.91639,0.489478,0.343316,0.340654,2.983123,2.412242,49.662254,47.867769,48.0878,2.43934,1.915534,1.93208,46382.01797,3.520208,0.979076085,9.96
1399830,-74.673889,40.6,4.56669,-4.36721,5873410,0.418765,3.73645,18.299421,73268400,497689000.0,469168000,36.425,56.94,4.24609,0.517052,0.394537,0.341758,2.983123,2.373755,50.126842,48.129236,48.1596,2.43237,1.85729,1.94922,43132.9729,3.324688,1.317460928,10.72
1400000,-74.679167,40.570556,4.43732,-4.37191,6327900,0.416809,10.923,17.300448,70394200,10213300000.0,507000000,35.0443,50.43,5.07383,0.526205,0.394537,0.345726,2.983123,2.37544,50.126842,48.163647,48.6384,2.38751,1.870034,1.99608,42921.79775,2.895729,1.301621022,7.85
1400010,-74.6875,40.556667,4.42336,-4.37158,15010600,0.422386,9.40288,18.316423,69923904,41565000000.0,511449000,34.8823,46.03,5.19863,0.525362,0.394537,0.34612,2.983123,2.375484,50.126842,48.169168,48.8852,2.36872,1.871366,2.04785,42839.62197,1.815313,1.2837785,8.11
1400360,-74.615833,40.575,2.90127,-4.42645,242482,0.356165,0.418996,17.188619,72372200,-758577000.0,19042400,19.8407,42.5,23.126,0.580051,0.384647,0.389776,2.432248,2.388935,49.018978,48.50545,49.019,2.33097,1.875226,1.88542,52624.6885,1.627604,1.666863053,6.73
1403150,-74.590833,40.612222,3.74317,-4.60384,123125,0.344013,2.43377,14.855884,106871000,-2095680000.0,5453700,33.2939,240.48,5.39012,0.583863,0.384647,0.375963,2.348963,2.319795,49.26347,48.995146,49.2995,2.27973,1.80962,1.79396,51726.07387,2.266389,1.139193065,4.8
1379000,-74.528889,40.68,3.22512,-4.17799,1753030,0.323183,26.2829,15.080338,106927000,-2228590000.0,140703000,19.895,215.6,4.61492,0.599171,0.336889,0.336889,2.168138,1.805445,55.02787,52.083847,51.1135,1.98966,1.545764,1.62547,39007.56944,4.429062,1.387520691,5.8
1400500,-74.582778,40.555556,4.16059,-4.39096,15809200,0.319436,0.952553,20.614442,56672900,-693013000.0,1272270000,34.4307,20.61,5.64504,0.618365,0.384647,0.363997,3.138713,2.410841,54.004063,48.786283,50.2651,2.18115,2.042227,1.8507,41144.79725,4.491771,1.310966839,11.21
1402540,-74.588333,40.529722,2.0728,-4.02268,7330140,0.32023,1.69474,19.294672,117985000,4813200000.0,550519000,14.7176,21.9,12.2573,0.625579,0.384647,0.346581,2.299306,1.981484,55.774555,53.71654,50.6082,2.16176,2.206908,1.90499,49412.74349,1.614479,1.076756992,7.52
1403060,-74.548333,40.551111,3.48321,-4.27331,23365900,0.284881,10.5514,18.642008,77690096,-56124000000.0,1879840000,27.9394,0.0,8.14743,0.650869,0.384647,0.359714,3.138713,2.279076,55.774555,50.279397,51.205,2.06268,2.088835,1.79105,36676.43616,17.096667,1.057932967,24.8
1403200,-74.548889,40.560833,4.82085,-4.7828,550403,0.287833,1.21914,17.022417,133331000,-4702150000.0,43753600,34.4734,20.47,8.64071,0.645817,0.384647,0.382106,2.348963,2.096788,52.827698,50.676084,51.0666,2.07398,1.726323,1.76908,45955.2483,5.8875,1.133947547,9.11
1403400,-74.403889,40.666111,5.53361,-4.90025,205673,0.224583,10.6312,13.901594,103486000,-9595960000.0,16555600,34.0803,184.44,9.71671,0.711737,0.336889,0.330982,1.620531,1.430071,56.92165,55.580007,55.5835,1.43004,1.430346,1.44561,39150.72797,1.993437,0.742391071,4.01
1403540,-74.451389,40.636389,5.31974,-4.93746,177404,0.235379,10.7025,13.746931,5660320,-12495300000.0,13990600,37.6049,162.24,6.56742,0.687936,0.336889,0.343051,1.792635,1.675303,54.731476,53.698086,54.0998,1.62732,1.534204,1.53596,43378.05831,9.637604,1.108204175,12.56
1403570,-74.436111,40.621944,5.35683,-4.89501,227262,0.214393,1.94454,15.687648,38949700,8225310000.0,17668100,36.36,71.69,11.5435,0.708605,0.384647,0.343173,1.792635,1.653896,54.782093,53.881367,54.453,1.59054,1.53035,1.52316,43119.22892,1.686146,1.374755509,5.35
1403600,-74.4575,40.601944,4.55165,-4.66709,338015,0.21998,8.66617,14.605439,64052400,-38420200000.0,27226300,28.2923,43.85,18.5692,0.701475,0.384647,0.350649,1.792635,1.623677,55.391808,54.150447,53.8454,1.67624,1.518759,1.5628,42095.24824,0.831042,1.321283917,6.53
1403900,-74.507778,40.585,4.1498,-4.48708,558514,0.256839,2.38489,16.387804,81674896,-2670980000.0,44996400,25.3656,26.52,22.5995,0.668412,0.384647,0.363753,1.930933,1.682504,55.391808,53.756196,51.9851,1.93093,1.556762,1.66218,41665.94029,1.764375,1.273685937,5.63
1393450,-74.221944,40.675,2.15177,-4.18803,612733,0.158412,1.0022,17.316022,135832000,-259442000.0,43865800,15.1279,0.0,55.1418,0.859806,0.317557,0.317557,1.069266,0.953848,65.330536,62.10771,65.3213,0.815133,1.284942,1.28273,34148.57112,13.416319,1.284606136,18.51
1394500,-74.311667,40.6875,4.10294,-4.65707,812221,0.200498,3.71457,16.326804,129302000,-16100700000.0,64145400,36.067,66.17,28.1259,0.777636,0.317557,0.317557,1.291926,1.171721,60.236294,57.948664,58.6766,1.15363,1.312789,1.332,33920.65365,1.355,1.192561602,3.95
